Stock,Trend,Proba,CV,Entry,Target,Stop,ATR,Score
BHARATSE,Bearish,0.2808422606685636,0.4347290640394088,180.8,163.54,190.8,11.02,0.21734147365040069
THOMASCOOK,Bearish,0.27015838199083586,0.5057471264367815,147.16,133.11,155.29,4.7,0.21674775934437177
AAREYDRUGS,Bearish,0.2798743401682471,0.4351395730706076,86.07,77.85,90.82,2.86,0.21663836445863985
LICNFNHGP,Bearish,0.2675792094418442,0.5238095238095237,286.92,259.52,302.78,4.81,0.21661174097673103
UNIENTER,Bearish,0.25345568459222817,0.6350574712643678,144.84,131.01,152.85,4.29,0.21645698120922474
ICDSLTD,Bearish,0.26246414801972073,0.5595238095238094,43.78,39.6,46.2,2.2,0.2162204647971985
STLTECH,Bearish,0.2681805806739285,0.5127257799671593,105.03,95.0,110.84,4.14,0.2159095873635914
MAHABANK,Bearish,0.27451312770784053,0.46592775041050905,58.46,52.88,61.69,1.6,0.2158691902451311
HNDFDS,Bearish,0.2643530952569581,0.5406403940886699,534.91,483.84,564.48,13.7,0.21577984179348747
SKYGOLD,Bearish,0.26907544010196094,0.5012315270935961,326.26,295.11,344.29,13.88,0.21539290155945148
TRIDENT,Bearish,0.26133259077852455,0.5591133004926109,27.9,25.24,29.44,0.52,0.21524536540970102
MOBIKWIK,Bearish,0.2541404343868418,0.6165845648604269,232.73,210.51,245.59,9.28,0.21516388829204539
SUKHJITS,Bearish,0.2511447333287848,0.6391625615763546,149.36,135.1,157.62,4.64,0.2148957644296055
GLAND,Bearish,0.282225969649837,0.3944991789819376,1733.49,1567.98,1829.31,42.49,0.21387074711559897
GHCL,Bearish,0.26204675580323317,0.5402298850574713,570.63,516.15,602.18,16.93,0.21385424898884545
PYRAMID,Bearish,0.26028951559210456,0.5529556650246306,161.61,146.18,170.54,6.1,0.2137451342325312
MANALIPETC,Bearish,0.25464603595729496,0.5977011494252874,65.24,59.01,68.85,2.2,0.21366851292968428
BILVYAPAR,Bearish,0.270122899655853,0.4761904761904762,8.71,7.88,9.19,0.69,0.21352572068034095
RVTH,Bearish,0.2717127374551957,0.46428571428571425,768.04,694.71,810.5,33.69,0.21348857942908234
NPST,Bearish,0.2789502852419929,0.4113300492610838,1634.29,1478.25,1724.62,71.19,0.21326642497318865
BALUFORGE,Bearish,0.2695990972286971,0.4766009852216748,614.91,556.2,648.9,19.6,0.21315593647884673
INDBANK,Bearish,0.26286323387293864,0.5242200328407225,36.23,32.77,38.23,1.47,0.21283720956115934
BIRLACORPN,Bearish,0.26501258136479533,0.5057471264367815,1116.19,1009.62,1177.89,22.74,0.2126192894168128
ANDHRSUGAR,Bearish,0.2610546442947525,0.5361247947454845,76.62,69.31,80.86,2.54,0.21261593361280334
NAVA,Bearish,0.2800692390418045,0.39696223316912976,519.44,469.84,548.15,16.86,0.2125123076538881
SUPREMEINF,Bearish,0.26587178014248997,0.493431855500821,90.54,81.9,95.55,5.75,0.21199891040590005
PRAENG,Bearish,0.27868186107740434,0.39532019704433496,31.34,28.35,33.08,1.6,0.2112765439399632
PPL,Bearish,0.2683913298417546,0.46592775041050905,250.69,226.75,264.55,7.66,0.21105518532219425
EVERESTIND,Bearish,0.2867066390832298,0.340311986863711,528.34,477.9,557.55,24.5,0.21105186584731023
RKSWAMY,Bearish,0.26709986395134466,0.4704433497536946,122.36,110.67,129.12,5.14,0.21052206025721748
TBOTEK,Bearish,0.2662755771760963,0.47044334975369456,1678.56,1518.3,1771.35,55.28,0.20987237609938622
KRITINUT,Bearish,0.2363656323108339,0.7183908045977011,80.37,72.69,84.81,2.84,0.20974053809651008
AGARIND,Bearish,0.292275609446488,0.29351395730706076,764.26,691.29,806.5,23.8,0.20968015396908146
ARCHIES,Bearish,0.2629493858324026,0.4930213464696223,18.67,16.88,19.7,0.7,0.20962549560202212
WELENT,Bearish,0.25288743842271943,0.569376026272578,527.15,476.82,556.29,14.26,0.20932768096698337
UCOBANK,Bearish,0.25849924791169865,0.5238095238095238,30.78,27.84,32.48,0.81,0.20926129592851794
TATAINVEST,Bearish,0.2752742491010395,0.3973727422003284,753.61,681.66,795.27,27.93,0.20891914274959023
BAGFILMS,Bearish,0.2541726481219738,0.5517241379310346,6.45,5.83,6.8,0.32,0.208596862941482
KRYSTAL,Bearish,0.24069510997324334,0.6629720853858785,544.31,492.34,574.4,23.13,0.2082467215844038
KOTAKBANK,Bearish,0.26869390386637215,0.43678160919540227,2099.65,1899.18,2215.71,29.76,0.20816056460452279
OILIETF,Bearish,0.24936506508652354,0.5862068965517241,12.15,10.99,12.82,0.2,0.20809084741703
NFL,Bearish,0.27613946451648386,0.3834154351395731,83.98,75.96,88.62,1.96,0.20803413188860886
CAMS,Bearish,0.246823064374773,0.6063218390804598,3855.03,3486.96,4068.12,82.56,0.2079555243525386
EBGNG,Bearish,0.26708720846622397,0.44607843137254904,333.67,301.82,352.12,11.57,0.20790906227664885
JISLDVREQS,Bearish,0.24950415453947242,0.5784072249589491,28.76,26.01,30.34,1.28,0.20742849498084545
AFFORDABLE,Bearish,0.25708666088261434,0.5168308702791461,219.4,198.45,231.52,11.43,0.2074001256020171
MEDICAMEQ,Bearish,0.27644436270984574,0.37479474548440067,412.92,373.5,435.75,14.56,0.20731057545088102
ELECTHERM,Bearish,0.25301163394235143,0.5467980295566502,840.78,760.5,887.25,45.94,0.20714548552324535
MURUDCERA,Bearish,0.2646021952507409,0.4568965517241379,35.82,32.4,37.8,1.45,0.20711964938592478
CONFIPET,Bearish,0.25643258853452144,0.5184729064039408,37.99,34.36,40.09,1.14,0.20704089291038455
NITCO,Bearish,0.24778299937270867,0.5878489326765189,88.09,79.68,92.96,4.89,0.20693338831027855
JUBLCPL,Bearish,0.25893116368535296,0.4880952380952381,2288.5,2070.0,2415.0,87.87,0.20591192540692352
MANINDS,Bearish,0.25810047832344385,0.49384236453201974,468.0,423.32,493.87,18.2,0.20584466719490424
GOKEX,Bearish,0.2602807696897792,0.4770114942528736,912.51,825.39,962.95,27.65,0.20583122936387135
FAZE3Q,Bearish,0.24458577928980446,0.6038587848932676,521.18,471.42,549.99,25.5,0.2058295761675284
PCJEWELLER,Bearish,0.2536888787884529,0.5246305418719212,9.83,8.89,10.37,0.38,0.20545050085133823
ASHIMASYN,Bearish,0.24461488248354657,0.599343185550082,19.55,17.68,20.63,0.89,0.20541223465038705
INOXGREEN,Bearish,0.25632684790708554,0.5,219.4,198.45,231.52,10.09,0.20506147832566846
SOTL,Bearish,0.2570084562050302,0.4946633825944171,372.18,336.64,392.75,9.34,0.20505814264371786
BHARATGEAR,Bearish,0.25267415398248516,0.528735632183908,108.95,98.55,114.98,5.22,0.20504362380647645
SUNFLAG,Bearish,0.2546259332642651,0.5127257799671593,253.48,229.28,267.49,7.24,0.20499687205167352
BHAGERIA,Bearish,0.24399310936509971,0.6001642036124794,180.29,163.08,190.26,7.81,0.20497023768667488
