Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Dynamic Industries Ltd.,DYNAMIND,Dynamic Industries Ltd-$,Active,X ,10,INE457C01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Panama Petrochem Ltd.,PANAMAPET,Panama Petrochem Ltd,Active,B ,2,INE305C01029,Lubricants,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
Umedix India Ltd.,UMEDXPH,Umedix India Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Bal Pharma Ltd.,BALPHARMA,Bal Pharma Ltd,Active,B ,10,INE083D01012,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Jupiter Bioscience Ltd.,JUPITER,Jupiter Bioscience Ltd-$,Delisted,T ,10,INE918B01013, ,Equity,-,-,-,-
BDH Industries Ltd.,BDH,BDH Industries Ltd,Active,X ,10,INE278D01018,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Elder Health Care ltd.,ELDERHCL,Elder Health Care Ltd,Delisted,Z ,10,INE950E01010, ,Equity,-,-,-,-
Jauss Polymers Ltd,JAUSPOL,Jauss Polymers Ltd,Active,X ,10,INE593O01017,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
Alps Laboratories Limited,ALPSLAB,Alps Laboratories Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Tubetec Seamless Limited,TUBTECS,Tubetec Seamless Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Procal Electronics India Ltd,PROCAL,Procal Electronics India Ltd,Suspended,Z ,10,INE700B01015,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
Kemrock Industries & Exports Limited,KEMROCK,Kemrock Industries and Exports Ltd,Delisted,Z ,10,INE990B01012, ,Equity,-,-,-,-
Cheran Construction Limited,CHERCON,Cheran Construction Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
